"","Subject","System","ashby","sloutsky","tt","sloutsky.t","tt.t","ashby.cs"
"80",8072,"hypothesis-testing",-1.51044211538328,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,-1.54025546749643
"81",8073,"associative",-0.503711078362775,-0.18541180590619,0.232024876304917,-0.762400919523716,-0.0443127554256166,-0.525317642144884
"82",8073,"hypothesis-testing",1.24482177540968,0.290396401593369,0.494500337115654,-0.0185275600706761,0.42407140882664,1.2374691071499
"83",8074,"associative",-0.742147376604473,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,-0.765697653412354
"84",8074,"hypothesis-testing",1.43027222959766,-0.802408319372291,1.01945125873713,-1.23148830488211,1.65462998352178,1.42443133813571
"85",8076,"associative",-0.477218156335919,-2.27319218332936,0.232024876304917,-1.71779032602233,-0.0443127554256166,-0.498608752004053
"86",8076,"hypothesis-testing",1.45676515162452,0.678906765870263,-2.39272973180246,1.03410089560062,-1.8716876638001,1.45114022827654
"87",8077,"associative",-1.00707659687303,0.263619189171574,0.232024876304917,-0.0751087729032175,-0.0443127554256166,-1.03278655482065
"88",8077,"hypothesis-testing",1.16534300932911,0.290396401593369,-0.817876966938034,-0.0185275600706761,-1.12588131642622,1.15734243672741
"89",8078,"associative",0.344062426496595,0.678906765870263,0.232024876304917,1.03410089560062,-0.0443127554256166,0.329366842361679
"90",8078,"hypothesis-testing",1.43027222959766,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,1.42443133813571
"91",8079,"associative",-1.19252705106101,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,-1.21974878580647
"92",8079,"hypothesis-testing",-0.397739390255354,0.290396401593369,0.756975797926392,-0.0185275600706761,0.989989794864697,-0.418482081581563
"93",8080,"associative",-0.477218156335919,-0.527793048191237,0.232024876304917,-1.06109288027388,-0.0443127554256166,-0.498608752004053
"94",8080,"hypothesis-testing",1.48325807365137,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,1.47784911841737
"95",8082,"associative",-0.530204000389631,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,-0.552026532285714
"96",8082,"hypothesis-testing",0.873920867033701,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,0.863544645178279
"97",8084,"associative",-1.06006244092674,-1.6103773689423,0.232024876304917,-1.55452158881238,-0.0443127554256166,-1.08620433510231
"98",8084,"hypothesis-testing",-0.371246468228498,-6.47416309656435,0.494500337115654,-2.14984575080065,0.42407140882664,-0.391773191440733
"99",8086,"associative",-0.000345559852524039,0.678906765870263,-0.292926045316559,1.03410089560062,-0.703705158165666,-0.0178487294691124
"100",8086,"hypothesis-testing",1.08586424324854,-3.7970938110204,-0.555401506127297,-1.94580082901799,-0.934019015523857,1.07721576630492
"101",8087,"associative",0.476527036630871,0.678906765870263,0.232024876304917,1.03410089560062,-0.0443127554256166,0.462911293065828
